location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"st. louis, mo",accident,2004-04-10,united states,non-fatal,airplane,boeing,737-300,2.0,turbo fan,0.0,0.0,1.0,0.0,38.747777,-90.36,no,st. louis,mo
"beach haven, nj",accident,2004-04-14,united states,non-fatal,airplane,boeing,737-700,2.0,turbo fan,0.0,0.0,1.0,0.0,39.523334,-74.138611,no,beach haven,nj
"anchorage, ak",incident,2004-05-31,united states,non-fatal,airplane,boeing,757-251,2.0,turbo fan,0.0,1.0,0.0,1.0,61.174445,-149.996389,no,anchorage,ak
"liberal, ks",accident,2004-06-04,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,1.0,0.0,36.841944,-100.766667,no,liberal,ks
"dallas, tx",incident,2004-06-11,united states,non-fatal,airplane,embraer,emb-135lr,2.0,turbo fan,0.0,1.0,0.0,1.0,32.891389,-97.036111,no,dallas,tx
"sheridan, il",accident,2004-07-15,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82,2.0,turbo fan,0.0,0.0,1.0,0.0,41.511667,-88.705833,no,sheridan,il
"miami, fl",accident,2004-07-25,united states,non-fatal,airplane,boeing,777,2.0,turbo fan,0.0,0.0,1.0,0.0,unknown,unknown,no,miami,fl
"denver, co",incident,2004-08-07,united states,non-fatal,airplane,boeing,737-500,2.0,turbo fan,0.0,0.0,0.0,0.0,39.851111,-104.667223,no,denver,co
"houston, tx",incident,2004-08-11,united states,non-fatal,airplane,boeing,b-777,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,houston,tx
"los angeles, ca",incident,2004-08-19,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,33.9425,-118.408056,no,los angeles,ca
"clyde, ny",accident,2004-08-29,united states,non-fatal,airplane,embraer,emb-135kl,2.0,turbo fan,0.0,0.0,1.0,0.0,43.15,-76.9,no,clyde,ny
"los angeles, ca",accident,2004-09-13,united states,non-fatal,airplane,boeing,737-3h4,2.0,turbo fan,0.0,0.0,1.0,0.0,33.9425,-118.408056,no,los angeles,ca
"chicago, il",incident,2004-09-16,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82,2.0,turbo fan,0.0,0.0,0.0,0.0,41.978611,-87.904722,no,chicago,il
"memphis, tn",accident,2004-09-19,united states,non-fatal,airplane,boeing,md-11,3.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,memphis,tn
"anchorage, ak",incident,2004-09-26,united states,non-fatal,airplane,mcdonnell douglas,md-82,2.0,turbo fan,0.0,0.0,0.0,0.0,61.179445,-149.983333,no,anchorage,ak
"denver, co",incident,2004-11-21,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82,2.0,turbo fan,0.0,0.0,0.0,0.0,39.8275,-104.660556,no,denver,co
"cleveland, oh",accident,2004-11-29,united states,non-fatal,airplane,embraer,emb-135bj,2.0,turbo fan,0.0,0.0,0.0,0.0,41.411667,-81.849722,no,cleveland,oh
"anchorage, ak",incident,2004-12-05,united states,non-fatal,airplane,boeing,747sr-146b sf,4.0,turbo fan,0.0,0.0,0.0,0.0,61.174445,-149.996389,no,anchorage,ak
"providence, ri",accident,2004-12-20,united states,non-fatal,airplane,mcdonnell douglas,md-82,2.0,turbo fan,0.0,0.0,0.0,0.0,41.723889,-71.428334,no,providence,ri
"anchorage, ak",incident,2004-12-29,united states,non-fatal,airplane,boeing,747-123,4.0,turbo fan,0.0,0.0,0.0,0.0,61.174445,-149.996389,no,anchorage,ak
"gunnison, co",accident,2005-01-08,united states,non-fatal,airplane,boeing,737-724,2.0,turbo fan,0.0,1.0,0.0,1.0,unknown,unknown,no,gunnison,co
"covington, ky",accident,2005-01-17,united states,non-fatal,airplane,boeing,737-247,2.0,turbo fan,0.0,0.0,0.0,0.0,39.046111,-84.661944,no,covington,ky
"seattle, wa",incident,2005-01-30,united states,non-fatal,airplane,boeing,737-3h4,2.0,turbo fan,0.0,0.0,0.0,0.0,47.448889,-122.309444,no,seattle,wa
"newark, nj",accident,2005-03-02,united states,non-fatal,airplane,boeing,777-200,2.0,turbo fan,0.0,0.0,0.0,0.0,40.698611,-74.17,no,newark,nj
"boston, ma",accident,2005-03-06,united states,non-fatal,airplane,boeing,757-232,2.0,turbo fan,0.0,3.0,1.0,3.0,42.364444,-71.005278,no,boston,ma
"newark, nj",accident,2005-03-16,united states,non-fatal,airplane,boeing,737-72t,2.0,turbo fan,0.0,0.0,0.0,0.0,40.6925,-74.168611,no,newark,nj
"raleigh, nc",accident,2005-03-20,united states,non-fatal,airplane,embraer,emb-135lr,2.0,turbo fan,0.0,0.0,1.0,0.0,35.866667,-78.790277,no,raleigh,nc
"anchorage, ak",incident,2005-04-28,united states,non-fatal,airplane,mcdonnell douglas,md-11,3.0,turbo fan,0.0,0.0,0.0,0.0,61.174445,-149.996389,no,anchorage,ak
"little rock, ar",accident,2005-04-29,united states,non-fatal,airplane,boeing,737-700,2.0,turbo fan,0.0,0.0,1.0,0.0,35.367223,-91.202222,no,little rock,ar
"minneapolis, mn",accident,2005-05-10,united states,non-fatal,airplane,mcdonnell douglas,dc-9-51,2.0,turbo fan,0.0,7.0,1.0,7.0,44.880556,-93.216945,no,minneapolis,mn
"union star, mo",incident,2005-05-12,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,39.966667,-94.583333,no,union star,mo
"denver, co",accident,2005-05-13,united states,non-fatal,airplane,mcdonnell douglas,md-88,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,denver,co
"denver, co",incident,2005-05-17,united states,non-fatal,airplane,boeing,737-322,2.0,turbo fan,0.0,0.0,0.0,0.0,39.861667,-104.673056,no,denver,co
"denver, co",incident,2005-05-17,united states,non-fatal,airplane,boeing,737-322,2.0,turbo fan,0.0,0.0,0.0,0.0,39.861667,-104.673056,no,denver,co
"kansas city, mo",incident,2005-05-19,united states,non-fatal,airplane,embraer,emb-145lr,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,kansas city,mo
"denver, co",incident,2005-05-28,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82,2.0,turbo fan,0.0,0.0,0.0,0.0,39.861389,-104.673056,no,denver,co
"new chicago, in",accident,2005-06-05,united states,non-fatal,airplane,boeing,757-223,2.0,turbo fan,0.0,1.0,1.0,1.0,41.56,-87.274445,no,new chicago,in
"louisville, ky",accident,2005-06-07,united states,non-fatal,airplane,mcdonnell douglas,md-11f,3.0,turbo fan,0.0,0.0,0.0,0.0,38.174167,-85.735833,no,louisville,ky
"boston, ma",incident,2005-06-09,united states,non-fatal,airplane,boeing,737-3b7,2.0,turbo fan,0.0,0.0,0.0,0.0,42.364167,-71.005,no,boston,ma
"salt lake city, ut",incident,2005-06-19,united states,non-fatal,airplane,boeing,737-524,2.0,turbo fan,0.0,0.0,0.0,0.0,47.303333,-111.973334,no,salt lake city,ut
"san diego, ca",accident,2005-06-27,united states,non-fatal,airplane,boeing,727-230,3.0,turbo fan,0.0,0.0,0.0,0.0,32.733611,-117.189722,no,san diego,ca
"chicago, il",accident,2005-07-08,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,41.785833,-87.7525,no,chicago,il
"raleigh-durham, nc",accident,2005-07-11,united states,non-fatal,airplane,boeing,767-232,2.0,turbo fan,0.0,0.0,1.0,0.0,35.4,-80.666667,no,raleigh-durham,nc
"denver, co",incident,2005-08-03,united states,non-fatal,airplane,airbus,a320-232,2.0,turbo fan,0.0,0.0,0.0,0.0,39.861667,-104.673056,no,denver,co
"agana, gu",accident,2005-08-19,united states,non-fatal,airplane,boeing,747-200,4.0,turbo fan,0.0,2.0,0.0,2.0,unknown,unknown,no,agana,gu
"chicago, il",accident,2005-08-20,united states,non-fatal,airplane,boeing,757-33n,2.0,turbo fan,0.0,0.0,0.0,0.0,41.7875,-87.754167,no,chicago,il
