location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,aircraft_damage,city,state,region,passengers
"yellow pine, id",accident,2007-06-14,united states,fatal(1),airplane,cessna,172,1.0,reciprocating,1.0,0.0,1.0,0.0,45.045833,-115.456667,no,Substantial,yellow pine,id,West,2.0
"hailey, id",accident,2007-06-14,united states,non-fatal,airplane,cessna,210m,1.0,reciprocating,0.0,2.0,0.0,2.0,43.503611,-14.290555,no,Substantial,hailey,id,West,4.0
"columbia, il",accident,2007-06-15,united states,non-fatal,airplane,luscombe,8a,1.0,reciprocating,0.0,0.0,0.0,0.0,38.451944,-90.240833,no,Substantial,columbia,il,Midwest,0.0
"bellaire, mi",accident,2007-06-15,united states,non-fatal,airplane,cessna,150h,1.0,reciprocating,0.0,2.0,0.0,2.0,44.988611,-85.198333,no,Substantial,bellaire,mi,Midwest,4.0
"batavia, ny",accident,2007-06-15,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,43.030556,-78.169445,no,Substantial,batavia,ny,North East,0.0
"seldovia, ak",accident,2007-06-15,united states,non-fatal,airplane,cessna,206,1.0,reciprocating,0.0,1.0,0.0,1.0,59.12,-151.691666,no,Substantial,seldovia,ak,West,2.0
"honolulu, hi",accident,2007-06-15,united states,non-fatal,airplane,cessna,150j,1.0,reciprocating,0.0,0.0,0.0,0.0,21.253333,-157.575556,no,Destroyed,honolulu,hi,West,0.0
"minden, nv",accident,2007-06-16,united states,non-fatal,glider,schempp-hirth,nimbus-3dm,1.0,reciprocating,0.0,1.0,0.0,1.0,39.000833,-119.755,no,Substantial,minden,nv,West,2.0
"springfield, vt",accident,2007-06-16,united states,non-fatal,airplane,northwing design,apache quest,1.0,reciprocating,0.0,0.0,1.0,0.0,43.3425,-72.509444,no,Substantial,springfield,vt,North East,1.0
"imnaha, or",accident,2007-06-16,united states,non-fatal,airplane,piper,pa-12,1.0,reciprocating,0.0,0.0,0.0,0.0,45.456389,-116.586666,no,Substantial,imnaha,or,West,0.0
"lansing, il",accident,2007-06-16,united states,non-fatal,airplane,american aviation corp. (aac),aa-1,1.0,reciprocating,0.0,0.0,1.0,0.0,41.535,-87.529445,no,Substantial,lansing,il,Midwest,1.0
"placitas, nm",accident,2007-06-16,united states,fatal(1),airplane,beech,58,2.0,reciprocating,1.0,0.0,0.0,0.0,35.219167,-106.450833,no,Destroyed,placitas,nm,West,1.0
"tonopah, nv",accident,2007-06-17,united states,non-fatal,airplane,beech,b24r,1.0,reciprocating,0.0,1.0,1.0,1.0,38.060278,-117.087222,no,Substantial,tonopah,nv,West,3.0
"nampa, id",accident,2007-06-17,united states,non-fatal,airplane,cessna,180h,1.0,reciprocating,0.0,1.0,0.0,1.0,43.581389,-116.523056,no,Substantial,nampa,id,West,2.0
"egegik, ak",accident,2007-06-17,united states,non-fatal,airplane,britten-norman,bn2a26,1.0,reciprocating,0.0,0.0,0.0,0.0,56.186944,-157.385555,no,Substantial,egegik,ak,West,0.0
"washington, nc",accident,2007-06-17,united states,non-fatal,airplane,stinson,108-2,1.0,reciprocating,0.0,1.0,1.0,1.0,35.403889,-77.049722,no,Destroyed,washington,nc,South,3.0
"oceanside, ca",accident,2007-06-18,united states,non-fatal,airplane,cessna,177rg,1.0,reciprocating,0.0,1.0,0.0,1.0,33.181945,-117.304444,no,Substantial,oceanside,ca,West,2.0
"phoenix, az",accident,2007-06-18,united states,non-fatal,airplane,cessna,182d,1.0,reciprocating,0.0,0.0,0.0,0.0,33.688333,-112.0825,no,Substantial,phoenix,az,West,0.0
"park city, ut",accident,2007-06-18,united states,non-fatal,helicopter,robinson,r22 beta ii,1.0,reciprocating,0.0,0.0,0.0,0.0,40.688889,-111.480556,no,Substantial,park city,ut,West,0.0
"maxton, nc",accident,2007-06-18,united states,non-fatal,airplane,beech,t-34a,1.0,reciprocating,0.0,0.0,0.0,0.0,34.791944,-79.365833,no,Substantial,maxton,nc,South,0.0
"marietta, pa",accident,2007-06-18,united states,non-fatal,airplane,piper,pa31-310,2.0,reciprocating,0.0,0.0,0.0,0.0,40.092222,-77.574445,no,Substantial,marietta,pa,North East,0.0
"oxford, ms",accident,2007-06-18,united states,non-fatal,airplane,frew,zodiac 601xl,1.0,reciprocating,0.0,0.0,1.0,0.0,,,no,Substantial,oxford,ms,South,1.0
"brinson, ga",accident,2007-06-18,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,30.969445,-84.635833,no,Substantial,brinson,ga,South,0.0
"plainville, ct",accident,2007-06-18,united states,non-fatal,airplane,beech,c-23,1.0,reciprocating,0.0,0.0,0.0,0.0,41.690277,-72.86,no,Substantial,plainville,ct,North East,0.0
"nampa, id",accident,2007-06-19,united states,non-fatal,airplane,halsted,flightstar pioneer,1.0,reciprocating,0.0,1.0,0.0,1.0,43.496111,-116.407778,no,Substantial,nampa,id,West,2.0
"reno, nv",accident,2007-06-19,united states,non-fatal,airplane,waco,upf-7,1.0,reciprocating,0.0,0.0,0.0,0.0,39.509722,-119.768889,no,Substantial,reno,nv,West,0.0
"battle creek, mi",accident,2007-06-19,united states,non-fatal,airplane,cessna,195,1.0,reciprocating,0.0,0.0,0.0,0.0,42.307222,-85.251389,no,Substantial,battle creek,mi,Midwest,0.0
"homer, ak",accident,2007-06-19,united states,non-fatal,airplane,cessna,206,1.0,reciprocating,0.0,0.0,4.0,0.0,59.513889,-151.481389,no,Substantial,homer,ak,West,4.0
"van, tx",accident,2007-06-19,united states,non-fatal,airplane,mooney,m-20e,1.0,reciprocating,0.0,0.0,0.0,0.0,32.542777,-95.708611,no,Destroyed,van,tx,South,0.0
"kalispell, mt",accident,2007-06-20,united states,non-fatal,airplane,cessna,185c,1.0,reciprocating,0.0,0.0,0.0,0.0,48.178611,-114.303611,no,Substantial,kalispell,mt,West,0.0
"wall township, nj",accident,2007-06-20,united states,non-fatal,airplane,bell-carson,47g-super c-4,1.0,reciprocating,0.0,0.0,0.0,0.0,40.186944,-74.124723,no,Substantial,wall township,nj,North East,0.0
"baton rouge, la",accident,2007-06-20,united states,non-fatal,airplane,cessna,206,1.0,reciprocating,0.0,0.0,0.0,0.0,30.533056,-91.149722,no,Substantial,baton rouge,la,South,0.0
"laramie, wy",accident,2007-06-20,united states,non-fatal,airplane,beech,1900d,2.0,turbo prop,0.0,0.0,0.0,0.0,41.3075,-105.671111,no,Substantial,laramie,wy,West,0.0
"hudson, co",accident,2007-06-20,united states,non-fatal,airplane,beech,b36tc,1.0,reciprocating,0.0,0.0,0.0,0.0,40.1,-104.701111,no,Substantial,hudson,co,West,0.0
"stuttgart, ar",accident,2007-06-20,united states,non-fatal,airplane,ayres,s2r-t15,1.0,turbo prop,0.0,0.0,1.0,0.0,,,no,Substantial,stuttgart,ar,South,1.0
"fergus falls, mn",accident,2007-06-20,united states,non-fatal,airplane,air tractor,at-301,1.0,reciprocating,0.0,1.0,0.0,1.0,,,no,Substantial,fergus falls,mn,Midwest,2.0
"london, oh",accident,2007-06-20,united states,non-fatal,airplane,luscombe,8a,1.0,reciprocating,0.0,1.0,0.0,1.0,39.932778,-83.461944,no,Substantial,london,oh,Midwest,2.0
"sand springs, ok",accident,2007-06-20,united states,non-fatal,helicopter,bell,bh206b-3,1.0,turbo jet,0.0,1.0,0.0,1.0,36.175,-96.151667,no,Destroyed,sand springs,ok,South,2.0
"miami, fl",accident,2007-06-21,united states,non-fatal,airplane,cessna,c152,1.0,reciprocating,0.0,0.0,0.0,0.0,25.641944,-80.426389,no,Substantial,miami,fl,South,0.0
"hiddenite, nc",accident,2007-06-21,united states,fatal(2),airplane,cessna,182c,1.0,reciprocating,2.0,0.0,0.0,0.0,35.918334,-81.114167,no,Destroyed,hiddenite,nc,South,2.0
"price, ut",accident,2007-06-22,united states,fatal(2),airplane,mooney,m20c,1.0,reciprocating,2.0,0.0,0.0,0.0,39.633056,-110.743611,no,Substantial,price,ut,West,2.0
"bear lake, id",accident,2007-06-22,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,0.0,0.0,42.247222,-111.338333,no,Substantial,bear lake,id,West,0.0
"redlands, ca",accident,2007-06-22,united states,non-fatal,airplane,commonwealth,185,1.0,reciprocating,0.0,2.0,0.0,2.0,34.085277,-117.146389,no,Substantial,redlands,ca,West,4.0
"sanford, fl",accident,2007-06-22,united states,fatal(1),airplane,american champion (acac),8gcbc,1.0,reciprocating,1.0,0.0,0.0,0.0,28.7775,-81.237222,no,Substantial,sanford,fl,South,1.0
"cullman, al",accident,2007-06-22,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,2.0,0.0,34.281667,-86.853611,no,Substantial,cullman,al,South,2.0
"grand prairie, tx",accident,2007-06-22,united states,non-fatal,airplane,evektor,sportstar,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,grand prairie,tx,South,0.0
"santa fe, nm",accident,2007-06-22,united states,non-fatal,airplane,piper,pa-32-301t,1.0,reciprocating,0.0,2.0,0.0,2.0,35.616667,-106.086111,no,Substantial,santa fe,nm,West,4.0
"highgate, vt",accident,2007-06-22,united states,non-fatal,airplane,piper,pa-30,2.0,reciprocating,0.0,0.0,0.0,0.0,44.983333,-73.166667,no,Substantial,highgate,vt,North East,0.0
"stoney river, ak",accident,2007-06-22,united states,non-fatal,airplane,cessna,175,1.0,reciprocating,0.0,0.0,0.0,0.0,61.533611,-156.189444,no,Substantial,stoney river,ak,West,0.0
"cannon falls, mn",accident,2007-06-22,united states,fatal(1),airplane,beech,a36tc,1.0,reciprocating,1.0,0.0,0.0,0.0,44.369445,-92.835,no,Destroyed,cannon falls,mn,Midwest,1.0
"flagstaff, az",accident,2007-06-23,united states,non-fatal,airplane,piper,pa 24-250,1.0,reciprocating,0.0,1.0,0.0,1.0,35.118611,-111.136389,no,Substantial,flagstaff,az,West,2.0
"columbia, il",accident,2007-06-23,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,columbia,il,Midwest,0.0
"coats, nc",accident,2007-06-23,united states,non-fatal,airplane,american champion (acac),7gcbc,1.0,reciprocating,0.0,0.0,0.0,0.0,35.683611,-78.950278,no,Substantial,coats,nc,South,0.0
"bozeman, mt",accident,2007-06-24,united states,non-fatal,airplane,cessna,170a,1.0,reciprocating,0.0,0.0,1.0,0.0,45.6825,-110.802778,no,Substantial,bozeman,mt,West,1.0
"jacksonville, fl",accident,2007-06-24,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,30.336389,-81.514444,no,Substantial,jacksonville,fl,South,0.0
"rio creek, wi",accident,2007-06-24,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,1.0,2.0,1.0,44.588055,-87.5625,no,Substantial,rio creek,wi,Midwest,4.0
"hillsdale, mi",accident,2007-06-24,united states,non-fatal,airplane,aeronca,7ec,1.0,reciprocating,0.0,0.0,0.0,0.0,41.924445,-84.5875,no,Substantial,hillsdale,mi,Midwest,0.0
"binghamton, ny",accident,2007-06-24,united states,non-fatal,airplane,"sherman john, h",nieuport ii,1.0,reciprocating,0.0,1.0,0.0,1.0,42.188333,-75.838055,no,Substantial,binghamton,ny,North East,2.0
"nenana, ak",accident,2007-06-24,united states,non-fatal,airplane,piper,pa-20,1.0,reciprocating,0.0,0.0,0.0,0.0,64.547222,-149.073889,no,Substantial,nenana,ak,West,0.0
"wasilla, ak",accident,2007-06-24,united states,fatal(2),airplane,cessna,177rg,1.0,reciprocating,2.0,0.0,0.0,0.0,61.521667,-149.540277,no,Substantial,wasilla,ak,West,2.0
"dutch harbor, ak",accident,2007-06-24,united states,non-fatal,airplane,grumman,g21a,2.0,reciprocating,0.0,0.0,0.0,0.0,53.971945,-166.85,no,Substantial,dutch harbor,ak,West,0.0
"tehachapi, ca",accident,2007-06-25,united states,non-fatal,airplane,mcdonnell douglas,dc 10-10,3.0,turbo fan,0.0,0.0,0.0,0.0,35.004444,-118.5975,no,Substantial,tehachapi,ca,West,0.0
"long beach, ca",accident,2007-06-25,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,33.8175,-118.151389,no,Substantial,long beach,ca,West,0.0
"tucson, az",accident,2007-06-25,united states,non-fatal,helicopter,robinson,r22,1.0,reciprocating,0.0,0.0,0.0,0.0,32.115833,-110.940833,no,Substantial,tucson,az,West,0.0
"grand ledge, mi",accident,2007-06-25,united states,non-fatal,airplane,piper,j3f-65,1.0,reciprocating,0.0,0.0,0.0,0.0,42.774167,-84.733333,no,Substantial,grand ledge,mi,Midwest,0.0
"la pine, or",accident,2007-06-25,united states,non-fatal,airplane,diamond aircraft industries,da20-c1,1.0,reciprocating,0.0,0.0,0.0,0.0,43.674167,-121.513056,no,Destroyed,la pine,or,West,0.0
"colona, il",accident,2007-06-25,united states,fatal(2),airplane,north american,navion,1.0,reciprocating,2.0,0.0,0.0,0.0,41.492222,-90.350833,no,Destroyed,colona,il,Midwest,2.0
"fresno, ca",accident,2007-06-26,united states,non-fatal,airplane,cessna,177rg,1.0,reciprocating,0.0,0.0,0.0,0.0,36.732223,-119.819723,no,Substantial,fresno,ca,West,0.0
"greenwater, wa",accident,2007-06-26,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,47.013056,-121.533889,no,Substantial,greenwater,wa,West,0.0
"machias, me",accident,2007-06-26,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,0.0,0.0,0.0,44.703056,-67.478611,no,Substantial,machias,me,North East,0.0
"fresno, ca",accident,2007-06-26,united states,non-fatal,airplane,aeronca,7ac,1.0,reciprocating,0.0,2.0,0.0,2.0,36.732223,-119.82,no,Substantial,fresno,ca,West,4.0
"wyaconda, mo",accident,2007-06-26,united states,non-fatal,airplane,cessna,188b,1.0,reciprocating,0.0,1.0,0.0,1.0,40.433333,-91.966667,no,Substantial,wyaconda,mo,Midwest,2.0
"tok, ak",accident,2007-06-26,united states,non-fatal,airplane,cessna,182rg,1.0,reciprocating,0.0,0.0,0.0,0.0,63.295555,-143.006111,no,Substantial,tok,ak,West,0.0
"anchorage, ak",accident,2007-06-26,united states,non-fatal,airplane,piper,pa-12,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,anchorage,ak,West,0.0
"greenville, sc",accident,2007-06-27,united states,non-fatal,airplane,evektor-aerotechnik as,sportstar,1.0,reciprocating,0.0,0.0,0.0,0.0,34.758333,-82.375,no,Substantial,greenville,sc,South,0.0
"chicago, il",accident,2007-06-27,united states,non-fatal,airplane,mcdonnell douglas,md 83,2.0,turbo fan,0.0,0.0,0.0,0.0,41.968611,-87.907778,no,Substantial,chicago,il,Midwest,0.0
"oceanic, un",accident,2007-06-27,united states,non-fatal,airplane,boeing,747-422,4.0,turbo fan,0.0,0.0,1.0,0.0,11,-157,no,,oceanic,un,,1.0
"chicago, il",accident,2007-06-27,united states,non-fatal,airplane,boeing,777-222,2.0,turbo fan,0.0,0.0,0.0,0.0,41.968611,-87.907778,no,Minor,chicago,il,Midwest,0.0
"cashmere, wa",accident,2007-06-28,united states,fatal(1),airplane,cessna,182q,1.0,reciprocating,1.0,0.0,0.0,0.0,47.514444,-120.478611,no,Substantial,cashmere,wa,West,1.0
"lancaster, pa",accident,2007-06-28,united states,non-fatal,airplane,cessna,150,1.0,reciprocating,0.0,0.0,0.0,0.0,40.087777,-76.272778,no,Substantial,lancaster,pa,North East,0.0
"slidell, la",accident,2007-06-28,united states,non-fatal,helicopter,schweizer,269c,1.0,reciprocating,0.0,0.0,0.0,0.0,30.167223,-89.655833,no,Substantial,slidell,la,South,0.0
"oak grove, mn",accident,2007-06-28,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,oak grove,mn,Midwest,0.0
"salem, il",accident,2007-06-28,united states,non-fatal,airplane,cessna,150l,1.0,reciprocating,0.0,0.0,0.0,0.0,38.642777,-88.964167,no,Substantial,salem,il,Midwest,0.0
"kotzebue, ak",accident,2007-06-28,united states,non-fatal,airplane,piper,pa-31,2.0,reciprocating,0.0,0.0,0.0,0.0,66.884722,-162.598611,no,Substantial,kotzebue,ak,West,0.0
"fairbanks, ak",accident,2007-06-28,united states,non-fatal,airplane,cessna,150,1.0,reciprocating,0.0,2.0,0.0,2.0,64.823611,-147.905556,no,Substantial,fairbanks,ak,West,4.0
"wellsville, mo",accident,2007-06-28,united states,fatal(3),airplane,piper,pa-46-500tp,1.0,turbo prop,3.0,0.0,0.0,0.0,39.123611,-91.578334,no,Destroyed,wellsville,mo,Midwest,3.0
"orangeburg, sc",accident,2007-06-29,united states,non-fatal,airplane,champion,7kcab,1.0,reciprocating,0.0,0.0,1.0,0.0,33.387777,-80.91,no,Substantial,orangeburg,sc,South,1.0
"henderson, nv",accident,2007-06-29,united states,non-fatal,airplane,piper,pa 28r-180,1.0,reciprocating,0.0,0.0,0.0,0.0,35.972778,-115.134444,no,Substantial,henderson,nv,West,0.0
"steamboat spngs, co",accident,2007-06-29,united states,non-fatal,airplane,cessna,t206h,1.0,reciprocating,0.0,0.0,0.0,0.0,40.516389,-107.217778,no,Substantial,steamboat spngs,co,West,0.0
"yorkville, il",accident,2007-06-29,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,41.655555,-88.456111,no,Substantial,yorkville,il,Midwest,0.0
"perry, ga",accident,2007-06-29,united states,non-fatal,airplane,cessna,172p,1.0,reciprocating,0.0,0.0,0.0,0.0,32.510556,-83.767223,no,Substantial,perry,ga,South,0.0
"los angeles, ca",incident,2007-06-29,united states,incident,airplane,boeing,747-400,4.0,turbo fan,0.0,0.0,0.0,0.0,33.9425,-118.407222,no,Minor,los angeles,ca,West,0.0
"chowchilla, ca",accident,2007-06-30,united states,non-fatal,airplane,air tractor,at-502a,1.0,turbo prop,0.0,0.0,0.0,0.0,37.016667,-120.355,no,Substantial,chowchilla,ca,West,0.0
"palm springs, ca",accident,2007-06-30,united states,non-fatal,airplane,cub crafters inc.,cc11-100,1.0,reciprocating,0.0,0.0,0.0,0.0,33.829723,-116.506667,no,Substantial,palm springs,ca,West,0.0
"lubbock, tx",accident,2007-06-30,united states,non-fatal,airplane,piper,pa28r-200,1.0,reciprocating,0.0,0.0,0.0,0.0,33.658056,-101.820278,no,Substantial,lubbock,tx,South,0.0
"conway, ar",accident,2007-06-30,united states,fatal(2),airplane,cessna,500,2.0,turbo fan,2.0,1.0,0.0,1.0,35.081389,-92.433056,no,Destroyed,conway,ar,South,4.0
"walkerville, il",accident,2007-06-30,united states,non-fatal,airplane,air tractor,at-301,1.0,turbo prop,0.0,0.0,0.0,0.0,39.497222,-90.668889,no,Destroyed,walkerville,il,Midwest,0.0
"mitchellville, md",accident,2007-07-01,united states,non-fatal,airplane,mooney,m20r,1.0,reciprocating,0.0,0.0,0.0,0.0,38.941111,-76.772223,no,Substantial,mitchellville,md,North East,0.0
"santa barbara, ca",accident,2007-07-01,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,34.426111,-119.840277,no,Substantial,santa barbara,ca,West,0.0
"boulder city, nv",accident,2007-07-01,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,0.0,0.0,0.0,35.9475,-114.861111,no,Substantial,boulder city,nv,West,0.0
"loveland, co",accident,2007-07-01,united states,non-fatal,airplane,cessna,180a,1.0,reciprocating,0.0,0.0,0.0,0.0,40.451944,-105.011389,no,Substantial,loveland,co,West,0.0
"talkeetna, ak",accident,2007-07-01,united states,non-fatal,airplane,piper,pa-18,1.0,reciprocating,0.0,0.0,0.0,0.0,62.366667,-151.166667,no,Substantial,talkeetna,ak,West,0.0
"fort lauderdale, fl",accident,2007-07-02,united states,non-fatal,airplane,piper,pa-34-200,1.0,reciprocating,0.0,0.0,0.0,0.0,26.197222,-80.170556,no,Substantial,fort lauderdale,fl,South,0.0
"newcastle, ut",accident,2007-07-02,united states,non-fatal,airplane,cessna,172k,1.0,reciprocating,0.0,0.0,0.0,0.0,37.766667,-113.483333,no,Substantial,newcastle,ut,West,0.0
"belle plaine, ia",accident,2007-07-02,united states,non-fatal,airplane,piper,pa-36-285,1.0,turbo prop,0.0,0.0,0.0,0.0,,,no,Substantial,belle plaine,ia,Midwest,0.0
"marion, in",accident,2007-07-02,united states,non-fatal,airplane,ayres corporation,s2r-t15,1.0,turbo prop,0.0,0.0,0.0,0.0,,,no,Substantial,marion,in,Midwest,0.0
"lueders, tx",accident,2007-07-02,united states,non-fatal,airplane,air tractor,301,1.0,reciprocating,0.0,0.0,1.0,0.0,32.836945,-99.593611,no,Destroyed,lueders,tx,South,1.0
"long beach, ca",accident,2007-07-03,united states,non-fatal,helicopter,robinson,r 22 beta,1.0,reciprocating,0.0,0.0,0.0,0.0,33.817778,-118.151389,no,Substantial,long beach,ca,West,0.0
"winnsboro, sc",accident,2007-07-03,united states,non-fatal,airplane,mooney,m20e,1.0,reciprocating,0.0,0.0,0.0,0.0,34.315278,-81.108611,no,Substantial,winnsboro,sc,South,0.0
"spanish fork, ut",accident,2007-07-03,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,40.141666,-111.661389,no,Substantial,spanish fork,ut,West,0.0
"loveland, co",accident,2007-07-03,united states,non-fatal,airplane,cessna,t210n,1.0,reciprocating,0.0,0.0,0.0,0.0,40.451944,-105.011389,no,Substantial,loveland,co,West,0.0
"carlsbad, ca",accident,2007-07-03,united states,fatal(2),airplane,beech,e90,2.0,turbo prop,2.0,0.0,0.0,0.0,33.127223,-117.299444,no,Destroyed,carlsbad,ca,West,2.0
"pima, az",accident,2007-07-04,united states,non-fatal,airplane,rajhamsa,xair,1.0,reciprocating,0.0,0.0,1.0,0.0,32.847777,-109.881667,no,Substantial,pima,az,West,1.0
"peyton, co",accident,2007-07-04,united states,non-fatal,airplane,flight design gmbh,ctsw,1.0,reciprocating,0.0,0.0,0.0,0.0,38.945555,-104.569723,no,Substantial,peyton,co,West,0.0
"joes, co",accident,2007-07-04,united states,non-fatal,airplane,grumman-schweizer,g-164b,1.0,reciprocating,0.0,1.0,0.0,1.0,39.116667,-102.1,no,Substantial,joes,co,West,2.0
"johnson, ne",accident,2007-07-04,united states,fatal(1),airplane,piper,pa-22-135,1.0,reciprocating,1.0,0.0,0.0,0.0,40.399166,-96.171389,no,Substantial,johnson,ne,Midwest,1.0
"trenton, mo",accident,2007-07-04,united states,non-fatal,airplane,boeing,n2s-3,1.0,reciprocating,0.0,2.0,0.0,2.0,40.083889,-93.595277,no,Substantial,trenton,mo,Midwest,4.0
"warrenton, va",accident,2007-07-05,united states,non-fatal,airplane,cessna,195,1.0,reciprocating,0.0,0.0,0.0,0.0,38.586111,-77.710556,no,Substantial,warrenton,va,South,0.0
"carrollton, oh",accident,2007-07-05,united states,fatal(2),airplane,grumman american,aa-1c,1.0,reciprocating,2.0,0.0,0.0,0.0,40.57,-81.084723,no,Substantial,carrollton,oh,Midwest,2.0
"port alsworth, ak",accident,2007-07-05,united states,non-fatal,airplane,cessna,185f,1.0,reciprocating,0.0,1.0,0.0,1.0,60.809444,-152.532223,no,Substantial,port alsworth,ak,West,2.0
"colorado city, tx",accident,2007-07-06,united states,non-fatal,airplane,ayres,s2r-g10,1.0,turbo prop,0.0,0.0,0.0,0.0,32.469445,-100.924167,no,Substantial,colorado city,tx,South,0.0
"lake in the hil, il",accident,2007-07-06,united states,non-fatal,airplane,piper,pa-28-181,1.0,reciprocating,0.0,0.0,0.0,0.0,42.206667,-88.323056,no,Substantial,lake in the hil,il,Midwest,0.0
"muncie, in",accident,2007-07-06,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,0.0,0.0,0.0,40.242222,-85.395833,no,Substantial,muncie,in,Midwest,0.0
"pedricktown, nj",accident,2007-07-06,united states,non-fatal,airplane,cessna,177rg,1.0,reciprocating,0.0,0.0,0.0,0.0,39.735555,-75.3975,no,Substantial,pedricktown,nj,North East,0.0
"groesbeck, tx",accident,2007-07-06,united states,fatal(1),airplane,socata,tb-20,1.0,reciprocating,1.0,0.0,0.0,0.0,31.475,-96.643611,no,Destroyed,groesbeck,tx,South,1.0
"berkeley townsh, nj",accident,2007-07-07,united states,non-fatal,airplane,cessna,ector 305a,1.0,reciprocating,0.0,1.0,0.0,1.0,39.891666,-74.083333,no,Substantial,berkeley townsh,nj,North East,2.0
"state college, pa",accident,2007-07-07,united states,non-fatal,airplane,piper,pa-20-135,1.0,reciprocating,0.0,0.0,0.0,0.0,40.849166,-77.848611,no,Substantial,state college,pa,North East,0.0
"burns, or",accident,2007-07-07,united states,non-fatal,airplane,wsk pzl mielec,m-18a,1.0,turbo prop,0.0,1.0,0.0,1.0,43.68,-119.431667,no,Substantial,burns,or,West,2.0
"spanaway, wa",accident,2007-07-07,united states,non-fatal,airplane,cessna,170,1.0,reciprocating,0.0,2.0,0.0,2.0,47.070278,-122.371111,no,Substantial,spanaway,wa,West,4.0
"eldorado, tx",accident,2007-07-07,united states,non-fatal,airplane,air tractor,at-402b,1.0,turbo prop,0.0,0.0,0.0,0.0,30.911667,-100.765833,no,Substantial,eldorado,tx,South,0.0
"kyle, sd",accident,2007-07-07,united states,non-fatal,airplane,wsk pzl mielec,pzl m18b,1.0,reciprocating,0.0,1.0,0.0,1.0,43.398055,-102.204722,no,Substantial,kyle,sd,Midwest,2.0
"aurora, or",accident,2007-07-07,united states,fatal(1),airplane,"cub crafters, inc.",cc11-100,1.0,reciprocating,1.0,0.0,0.0,0.0,,,no,Destroyed,aurora,or,West,1.0
"brooks, ky",accident,2007-07-08,united states,fatal(2),airplane,mooney,m20f,1.0,reciprocating,2.0,0.0,2.0,0.0,38.039444,-85.79,no,Substantial,brooks,ky,South,4.0
"matincus island, me",accident,2007-07-08,united states,non-fatal,airplane,cessna,182k,1.0,reciprocating,0.0,2.0,0.0,2.0,43.871111,-68.893333,no,Substantial,matincus island,me,North East,4.0
"new haven, ct",accident,2007-07-08,united states,non-fatal,airplane,cessna,182q,1.0,reciprocating,0.0,0.0,0.0,0.0,41.263611,-72.886666,no,Substantial,new haven,ct,North East,0.0
"tracy, ca",accident,2007-07-08,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,1.0,0.0,1.0,37.679167,-121.299722,no,Substantial,tracy,ca,West,2.0
"lexington, tx",accident,2007-07-08,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,0.0,0.0,30.4125,-96.966667,no,Substantial,lexington,tx,South,0.0
"delhi, la",accident,2007-07-08,united states,non-fatal,airplane,air tractor,at-400,1.0,reciprocating,0.0,0.0,1.0,0.0,32.406389,-91.4925,no,Substantial,delhi,la,South,1.0
"webster, wi",accident,2007-07-08,united states,non-fatal,airplane,cessna,c-177,1.0,reciprocating,0.0,0.0,0.0,0.0,45.966389,-92.146111,no,Substantial,webster,wi,Midwest,0.0
"louisburg, nc",accident,2007-07-08,united states,non-fatal,airplane,beech,b90,2.0,turbo prop,0.0,0.0,1.0,0.0,36.088055,-78.368611,no,Minor,louisburg,nc,South,1.0
"clarksburg, ca",accident,2007-07-08,united states,non-fatal,airplane,aeronca,7ac,1.0,reciprocating,0.0,0.0,1.0,0.0,38.443055,-121.508611,no,Minor,clarksburg,ca,West,1.0
"mcalester, ok",accident,2007-07-08,united states,non-fatal,airplane,boeing,b737-800,2.0,turbo fan,0.0,2.0,1.0,2.0,34.8375,-95.770834,no,,mcalester,ok,South,5.0
