location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,aircraft_damage,city,state,region,passengers
"duncan, ok",accident,2001-12-12,united states,non-fatal,airplane,piper,pa-23-250,2.0,reciprocating,0.0,0.0,1.0,0.0,34.457222,-97.960833,no,Substantial,duncan,ok,South,1.0
"jacksonville, fl",accident,2001-12-12,united states,fatal(4),airplane,piper,pa-32-260,1.0,reciprocating,4.0,0.0,0.0,0.0,30.506111,-81.706111,no,Destroyed,jacksonville,fl,South,4.0
"raleigh, nc",accident,2001-12-12,united states,fatal(3),airplane,piper,pa-46-350p,1.0,reciprocating,3.0,0.0,0.0,0.0,35.874445,-78.747222,no,Destroyed,raleigh,nc,South,3.0
"waukesha, wi",accident,2001-12-12,united states,fatal(1),airplane,robinson,r44,1.0,reciprocating,1.0,1.0,1.0,1.0,43.046111,-88.239444,no,Destroyed,waukesha,wi,Midwest,4.0
"montgomery, al",accident,2001-12-12,united states,fatal(3),airplane,beech,be-55,2.0,reciprocating,3.0,0.0,0.0,0.0,32.285833,-86.366945,no,Destroyed,montgomery,al,South,3.0
"groveland, ca",accident,2001-12-13,united states,non-fatal,airplane,piper,pa-32r-301t,1.0,reciprocating,0.0,0.0,0.0,0.0,37.861667,-120.177778,no,Substantial,groveland,ca,West,0.0
"broomfield, co",accident,2001-12-13,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,broomfield,co,West,0.0
"kingman, az",accident,2001-12-13,united states,non-fatal,airplane,beech,95,2.0,reciprocating,0.0,0.0,0.0,0.0,35.259444,-113.938055,no,Destroyed,kingman,az,West,0.0
"chicago, il",incident,2001-12-13,united states,incident,airplane,boeing,737-322,2.0,turbo fan,0.0,0.0,0.0,0.0,,,no,,chicago,il,Midwest,0.0
"san jacinto, ca",accident,2001-12-14,united states,fatal(1),airplane,cessna,t210l,1.0,reciprocating,1.0,0.0,0.0,0.0,33.824167,-116.886944,no,Destroyed,san jacinto,ca,West,1.0
"anchorage, ak",incident,2001-12-14,united states,incident,airplane,douglas,dc-8-71f,4.0,turbo fan,0.0,0.0,0.0,0.0,61.2,-149.833333,no,,anchorage,ak,West,0.0
"norfolk, va",accident,2001-12-15,united states,non-fatal,airplane,cessna,182q,1.0,reciprocating,0.0,0.0,0.0,0.0,36.78,-76.448611,no,Substantial,norfolk,va,South,0.0
"santa maria, ca",accident,2001-12-16,united states,non-fatal,airplane,cessna,r182,1.0,reciprocating,0.0,0.0,0.0,0.0,34.883333,-120.462778,no,Substantial,santa maria,ca,West,0.0
"el paso, tx",accident,2001-12-16,united states,non-fatal,airplane,schleicher,asw-24e,1.0,reciprocating,0.0,0.0,1.0,0.0,31.719445,-106.239166,no,Destroyed,el paso,tx,South,1.0
"cross keys, nj",accident,2001-12-17,united states,non-fatal,airplane,piper,pa-28,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,cross keys,nj,North East,0.0
"martinsburg, wv",accident,2001-12-17,united states,non-fatal,airplane,cessna,401a,2.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,martinsburg,wv,South,0.0
"new braunfels, tx",accident,2001-12-17,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,29.704444,-98.042222,no,Substantial,new braunfels,tx,South,0.0
"clinton, mo",accident,2001-12-17,united states,non-fatal,airplane,piper,pa-34,2.0,reciprocating,0.0,2.0,0.0,2.0,,,no,Substantial,clinton,mo,Midwest,4.0
"new smyrna bch, fl",accident,2001-12-18,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,4.0,0.0,29.055556,-80.948333,no,Substantial,new smyrna bch,fl,South,4.0
"reno, nv",accident,2001-12-18,united states,non-fatal,airplane,cessna,185f,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,reno,nv,West,0.0
"crested butte, co",accident,2001-12-18,united states,non-fatal,airplane,piper,pa-28-235,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,crested butte,co,West,0.0
"nashville, mi",accident,2001-12-18,united states,non-fatal,airplane,cessna,182k,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,nashville,mi,Midwest,0.0
"san diego, ca",accident,2001-12-19,united states,non-fatal,airplane,cessna,t210n,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,san diego,ca,West,0.0
"show low, az",accident,2001-12-20,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,show low,az,West,0.0
"lewiston, me",accident,2001-12-20,united states,non-fatal,airplane,cessna,208b,1.0,turbo prop,0.0,0.0,0.0,0.0,44.048333,-70.283333,no,Substantial,lewiston,me,North East,0.0
"boston, ma",accident,2001-12-20,united states,non-fatal,airplane,raytheon,be-1900d,2.0,turbo prop,0.0,0.0,1.0,0.0,,,no,,boston,ma,North East,1.0
"elkhart, in",accident,2001-12-21,united states,non-fatal,airplane,cessna,182p,1.0,reciprocating,0.0,1.0,1.0,1.0,,,no,Substantial,elkhart,in,Midwest,3.0
"vero beach, fl",accident,2001-12-21,united states,non-fatal,airplane,cessna,210d,1.0,reciprocating,0.0,1.0,0.0,1.0,27.655556,-80.418056,no,Substantial,vero beach,fl,South,2.0
"santa rosa, ca",accident,2001-12-24,united states,non-fatal,airplane,cessna,t210m,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,santa rosa,ca,West,0.0
"prescott, az",accident,2001-12-24,united states,non-fatal,airplane,piper,pa-28rt-201,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,prescott,az,West,0.0
"olathe, ks",accident,2001-12-25,united states,non-fatal,airplane,piper,pa-32-300,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,olathe,ks,Midwest,0.0
"san clemente, ca",accident,2001-12-25,united states,fatal(2),airplane,cessna,172n,1.0,reciprocating,2.0,0.0,1.0,0.0,33.342223,-117.527222,no,Destroyed,san clemente,ca,West,3.0
"falmouth, ky",accident,2001-12-26,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,1.0,0.0,1.0,,,no,Substantial,falmouth,ky,South,2.0
"kennesaw, ga",accident,2001-12-26,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,34.013056,-84.598611,no,Substantial,kennesaw,ga,South,0.0
"winters, ca",accident,2001-12-26,united states,non-fatal,airplane,aeronca,7ac,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Destroyed,winters,ca,West,0.0
"trenton, fl",accident,2001-12-27,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,3.0,0.0,3.0,29.588889,-82.871111,no,Substantial,trenton,fl,South,6.0
"anchorage, ak",accident,2001-12-28,united states,non-fatal,airplane,boeing,747-128,4.0,turbo fan,0.0,0.0,0.0,0.0,61.179445,-149.983333,no,Substantial,anchorage,ak,West,0.0
"chicago, il",incident,2001-12-28,united states,incident,airplane,boeing,737-522,2.0,turbo fan,0.0,0.0,0.0,0.0,41.979723,-87.904444,no,,chicago,il,Midwest,0.0
"sunriver, or",accident,2001-12-29,united states,non-fatal,airplane,pilatus,pc-12,1.0,turbo prop,0.0,0.0,0.0,0.0,43.876111,-121.453056,no,Substantial,sunriver,or,West,0.0
"long beach, ca",accident,2001-12-29,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,long beach,ca,West,0.0
"gainesville, ga",accident,2001-12-29,united states,fatal(1),airplane,mooney,m20c,1.0,reciprocating,1.0,0.0,0.0,0.0,34.250833,-83.838055,no,Destroyed,gainesville,ga,South,1.0
"lilburn, ga",accident,2001-12-29,united states,fatal(1),airplane,cessna,c-210n,1.0,reciprocating,1.0,0.0,0.0,0.0,33.519445,-84.119167,no,Destroyed,lilburn,ga,South,1.0
"martinsville, va",accident,2001-12-30,united states,non-fatal,airplane,mooney,m20c,1.0,reciprocating,0.0,1.0,0.0,1.0,36.630556,-80.018334,no,Substantial,martinsville,va,South,2.0
"tappahannock, va",accident,2001-12-30,united states,non-fatal,airplane,cessna,310h,2.0,reciprocating,0.0,0.0,0.0,0.0,37.925,-76.871389,no,Substantial,tappahannock,va,South,0.0
"milford, ct",accident,2001-12-30,united states,fatal(1),airplane,piper,pa-28r-180,1.0,reciprocating,1.0,0.0,0.0,0.0,41.182223,-73.026945,no,Substantial,milford,ct,North East,1.0
"danbury, ct",accident,2001-12-31,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,0.0,0.0,41.371389,-73.481945,no,Substantial,danbury,ct,North East,0.0
"armonk, ny",accident,2001-12-31,united states,fatal(1),airplane,raytheon,be-23-b24r,1.0,reciprocating,1.0,0.0,0.0,0.0,41.113611,-73.718056,no,Destroyed,armonk,ny,North East,1.0
"hollywood, fl",accident,2002-01-01,united states,fatal(1),airplane,piper,pa-31-350,2.0,reciprocating,1.0,0.0,4.0,0.0,26.062778,-80.108889,no,Substantial,hollywood,fl,South,5.0
"miami, fl",incident,2002-01-01,united states,incident,airplane,mcdonnell douglas,md-83,2.0,turbo fan,0.0,0.0,0.0,0.0,25.799722,-80.295,no,Minor,miami,fl,South,0.0
"boise, id",accident,2002-01-02,united states,non-fatal,airplane,beech,58p,2.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,boise,id,West,0.0
"greenville, sc",accident,2002-01-02,united states,non-fatal,airplane,boeing,727-200,3.0,turbo fan,0.0,0.0,0.0,0.0,34.885833,-82.2175,no,Substantial,greenville,sc,South,0.0
"lake leelanau, mi",accident,2002-01-03,united states,non-fatal,airplane,aeronca,11ac,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,lake leelanau,mi,Midwest,0.0
"houston, tx",incident,2002-01-03,united states,incident,airplane,boeing,747-228f,4.0,turbo fan,0.0,0.0,0.0,0.0,29.980278,-95.339722,no,Minor,houston,tx,South,0.0
"petaluma, ca",accident,2002-01-04,united states,fatal(1),airplane,cessna,152,1.0,reciprocating,1.0,0.0,0.0,0.0,35.266667,-122.55,no,Destroyed,petaluma,ca,West,1.0
"reno, nv",accident,2002-01-05,united states,non-fatal,airplane,piper,pa-18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,39.667223,-119.871111,no,Substantial,reno,nv,West,0.0
"east troy, wi",accident,2002-01-05,united states,non-fatal,airplane,robinson,r22,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,east troy,wi,Midwest,0.0
"buena park, ca",accident,2002-01-05,united states,fatal(1),airplane,cessna,t337h,2.0,reciprocating,1.0,0.0,0.0,0.0,33.869445,-117.990277,no,Destroyed,buena park,ca,West,1.0
"oak grove, la",accident,2002-01-05,united states,fatal(1),airplane,beech,95-b55,2.0,reciprocating,1.0,0.0,0.0,0.0,32.963611,-91.418056,no,Destroyed,oak grove,la,South,1.0
"boulder, co",accident,2002-01-05,united states,fatal(1),airplane,cessna,172k,1.0,reciprocating,1.0,0.0,0.0,0.0,40.093611,-105.293611,no,Destroyed,boulder,co,West,1.0
"tampa, fl",accident,2002-01-05,united states,fatal(1),airplane,cessna,172r,1.0,reciprocating,1.0,0.0,0.0,0.0,27.916389,-82.690277,no,Destroyed,tampa,fl,South,1.0
"rio grande, pr",accident,2002-01-05,united states,fatal(5),airplane,cessna,441,2.0,turbo prop,5.0,0.0,0.0,0.0,18.317778,-65.767223,no,Destroyed,rio grande,pr,,5.0
"sturgis, mi",accident,2002-01-06,united states,non-fatal,airplane,cessna,414a,2.0,reciprocating,0.0,1.0,1.0,1.0,,,no,Substantial,sturgis,mi,Midwest,3.0
"angola, in",accident,2002-01-06,united states,non-fatal,airplane,beech,s35,1.0,reciprocating,0.0,0.0,0.0,0.0,41.635555,-85.094444,no,Destroyed,angola,in,Midwest,0.0
"clewiston, fl",accident,2002-01-07,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,26.741944,-81.033333,no,Substantial,clewiston,fl,South,0.0
"covington, ky",accident,2002-01-08,united states,non-fatal,airplane,swearingen,sa-227-at,2.0,turbo prop,0.0,1.0,0.0,1.0,39.0525,-84.651667,no,Substantial,covington,ky,South,2.0
"bellewood, ms",accident,2002-01-08,united states,non-fatal,airplane,cessna,170b,1.0,reciprocating,0.0,1.0,0.0,1.0,33.145277,-90.515278,no,Substantial,bellewood,ms,South,2.0
"great falls, mt",accident,2002-01-09,united states,non-fatal,airplane,cessna,210l,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,great falls,mt,West,0.0
"durango, co",accident,2002-01-09,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,2.0,0.0,37.55,-107.866945,no,Substantial,durango,co,West,2.0
"albuquerque, nm",accident,2002-01-10,united states,non-fatal,airplane,piper,pa-46t,1.0,turbo prop,0.0,0.0,0.0,0.0,,,no,Substantial,albuquerque,nm,West,0.0
"renton, wa",accident,2002-01-11,united states,non-fatal,airplane,robinson,r22 beta,1.0,reciprocating,0.0,2.0,0.0,2.0,47.449166,-122.226111,no,Substantial,renton,wa,West,4.0
"tehachapi, ca",accident,2002-01-11,united states,non-fatal,airplane,piper,pa-22-108,1.0,reciprocating,0.0,2.0,0.0,2.0,35.135277,-118.439722,no,Substantial,tehachapi,ca,West,4.0
"nantucket, ma",accident,2002-01-12,united states,non-fatal,airplane,piper,pa-28,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,nantucket,ma,North East,0.0
"sugar land, tx",accident,2002-01-12,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,29.622223,-95.394166,no,Substantial,sugar land,tx,South,0.0
"anchorage, ak",accident,2002-01-12,united states,non-fatal,airplane,piper,pa-18,1.0,reciprocating,0.0,0.0,0.0,0.0,61.214444,-149.846111,no,Substantial,anchorage,ak,West,0.0
"clinton, wa",accident,2002-01-13,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,clinton,wa,West,0.0
"oceano, ca",accident,2002-01-13,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,0.0,0.0,0.0,35.101389,-120.622223,no,Substantial,oceano,ca,West,0.0
"grand junction, co",accident,2002-01-13,united states,non-fatal,airplane,maule,m-5-235c,1.0,reciprocating,0.0,0.0,0.0,0.0,39.122223,-108.527778,no,Substantial,grand junction,co,West,0.0
"mattoon, il",accident,2002-01-13,united states,non-fatal,airplane,beech,v35b,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,mattoon,il,Midwest,0.0
"sanford, nc",accident,2002-01-13,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,35.433889,-79.1825,no,Substantial,sanford,nc,South,0.0
"bayou la batre, al",accident,2002-01-13,united states,non-fatal,airplane,consolidated-vultee,108-m,1.0,reciprocating,0.0,0.0,1.0,0.0,30.454722,-88.210556,no,Substantial,bayou la batre,al,South,1.0
